max_value,min_value,data,pass_fail,Start_TSE,config_name,pass_fail_type,test_plan,correction_frequency,active_testplan_name
-55.0,-65.0,-60.9885115,PASS,1448870373350,APAC,,True,1e9,TAC
-40.0,-70.0,-69.1963597,PASS,1448869895331,BatchA,,True,1e9,Production
-45.0,-75.0,-70.6263756,PASS,1448869957795,BatchB,,True,1e9,Production
-20.0,-30.0,-56.8133217,FAIL,1448870002355,BatchC,,True,1e9,Production
-45.0,-70.0,-61.1779683,PASS,1448870080883,BatchD,,True,2e9,Production
-55.0,-65.0,-70.2263166,FAIL,1448870154243,BatchE,,True,2e9,Production
-55.0,-65.0,-66.7403636,FAIL,1448908415708,C-30,,True,2e8,EvaluationTest
-65.0,-75.0,-63.5013964,FAIL,1448908447818,C-35,,True,1e8,EvaluationTest
-55.0,-65.0,-66.9858005,FAIL,1448908344888,C60,,True,2e8,EvaluationTest
-65.0,-75.0,-70.4740608,PASS,1448908383970,C65,,True,2e9,EvaluationTest
-50.0,-77.0,-67.2620508,PASS,1448871590272,Component,,True,1e9,Bench
-60.0,-63.0,-65.3852933,FAIL,1448870421143,EMEA,,True,2e9,TAC
-60.0,-70.0,-64.9692791,PASS,1448908263115,LegacyPlatform,,True,1e8,EvaluationTest
-59.0,-69.0,-65.2953202,PASS,1448870444883,NA,,True,2e9,TAC
-40.0,-70.0,-64.3425361,PASS,1448907820183,PilotBuildA,,True,1e8,Manufacturing
-40.0,-70.0,-62.2396387,PASS,1448907861428,PilotBuildB,,True,2e8,Manufacturing
-40.0,-70.0,-66.5030591,PASS,1448907937838,PilotBuildC,,True,1e9,Manufacturing
-55.0,-59.0,-63.0458933,FAIL,1448908123497,ProductLine2,,True,2e7,Production
-49.0,-55.0,-59.5132084,FAIL,1448908157839,ProductLine3,,True,1e9,Production
-40.0,-45.0,-62.7364644,FAIL,1448908205316,ProjectNovo,,True,1e9,EvaluationTest
-35.0,-45.0,-73.5331548,FAIL,1448871710804,Type688,,True,2e9,Bench
-46.0,-66.0,-66.8535518,FAIL,1448871776091,Unit209,,True,1e9,Bench
-60.0,-65.0,-58.3687748,FAIL,1448908074135,Version1,,True,1e7,Production
-70.0,-80.0,-67.2093532,FAIL,1448908485935,X-1000,,True,2e9,EvaluationTest
-60.0,-70.0,-64.5491068,PASS,1448908511752,X-1050,,True,2e9,EvaluationTest
-55.0,-75.0,-61.5753875,PASS,1448908551819,X-1100,,True,2e9,EvaluationTest
