start_time,correction_frequency(Hz),config_name,measurement_source,max_value,min_value,offset(dBm),pass_fail_type,data(dBm),active_testplan_name,hardware_name,pass_fail
1449550676084,1.00E+09,Batch1,Testplan,-40,-70,0,Range,-66.6052758,SingleStageProduction,Tahoe,PASS
1449555287475,3.00E+08,BatchA,Testplan,-30,-50,0.5,Range,-63.1087753,Production,Tahoe,FAIL
1449555317673,4.00E+08,BatchB,Testplan,-50,-60,1,Range,-60.4792947,Production,Tahoe,FAIL
1449555351385,2.00E+09,BatchC,Testplan,-65,-70,1.5,Range,-62.5372768,Production,Tahoe,FAIL
1449555385149,3.00E+08,BatchD,Testplan,-55,-75,0.1,Range,-58.5199112,Production,Tahoe,PASS
1449550034289,1.00E+09,Bench,Instrument,N/A,N/A,0,N/A,-64.6713698,Amplifier,MSP,N/A
1449550058530,2.00E+09,Bench,Instrument,N/A,N/A,0,N/A,-62.5779486,PCB,MSP,N/A
1449550094735,2.00E+09,Bench,Instrument,N/A,N/A,0,N/A,-66.354913,PowerSupply,MSP,N/A
1449555754031,1.00E+09,Initialization,Instrument,N/A,N/A,0,N/A,-63.9678424,Version1,Tahoe,N/A
1449555769313,2.00E+08,Initialization,Instrument,N/A,N/A,1.1,N/A,-61.4324001,Version2,Tahoe,N/A
1449555784054,3.00E+09,Initialization,Instrument,N/A,N/A,0.5,N/A,-61.8534613,Version3,Tahoe,N/A
1449555512179,2.00E+09,Mk1Mod0,Testplan,-50,-75,0.1,Range,-61.8687584,Pilot,Tahoe,PASS
1449555576130,7.00E+08,Mk1Mod2,Testplan,-55,-60,1.5,Range,-60.2784404,Production,Tahoe,FAIL
1449555610755,2.00E+07,Mk1Mod3,Testplan,-67,-77,0.5,Range,-62.9237524,Pilot,Tahoe,FAIL
1449555643448,2.00E+09,Mk1Mod4,Testplan,-60,-70,1,Range,-59.7123831,Pilot,Tahoe,FAIL
1449555539645,3.00E+08,Mk1Mod,Testplan,-55,-65,0.5,Range,-62.8089206,Production,Tahoe,PASS
1449550806747,1.00E+09,Stage1,Testplan,-50,-70,0,Range,-66.485077,TwoStageProd,Tahoe,PASS
1449550809718,1.00E+09,Stage2,Testplan,-40,-50,0,Range,-64.6363471,TwoStageProd,Tahoe,FAIL
1449554974159,2.00E+09,TAC,Instrument,N/A,N/A,2,N/A,-60.7833053,CPU,KCMO,N/A
1449554878592,1.00E+09,TAC,Instrument,N/A,N/A,0.5,N/A,-64.0557159,Filter,KCMO,N/A
1449555007496,1.00E+08,TAC,Instrument,N/A,N/A,0.25,N/A,-62.0170469,Memory,KCMO,N/A
1449554832177,2.00E+09,TAC,Instrument,N/A,N/A,1,N/A,-63.6056153,Switch,KCMO,N/A
