Model,DPO4034,,,
Firmware Version,2.58,,,
,,,,
Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,100,,,
Horizontal Delay,0,0,0,0
Sample Interval,0.01,,,
Record Length,100000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,1,2,2,2
Vertical Position,0,0,-2.02,-4.02
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.00E+02,0,0,0,0
-5.00E+02,0,0,0.2,0.52
-5.00E+02,0,0,0.2,0.2
-5.00E+02,0,0,0.68,0.6
-5.00E+02,0,0,1.56,0.68
-5.00E+02,0,0,0.36,1.16
-5.00E+02,0,0,0.52,1.48
-5.00E+02,0,0,-0.28,1.16
-5.00E+02,0,0,-0.52,1.16
-5.00E+02,0,0,-0.92,1.24
-5.00E+02,0,0,-0.44,0.6
-5.00E+02,0,0,-0.36,0.6
-5.00E+02,0,0,0.2,0.68
-5.00E+02,0,0,0.12,0.28
-5.00E+02,0,0,0.12,0.36
-5.00E+02,0,0,0.12,0.52
-5.00E+02,0,0,-0.2,0.84
-5.00E+02,0,0,-0.68,0.6
-5.00E+02,0,0,0.36,1
-5.00E+02,0,0,-0.2,0.76
-5.00E+02,0,0,-0.2,0.84
-5.00E+02,0,0,-0.76,0.76
-5.00E+02,0,0,0.12,0.44
-5.00E+02,0,0,-0.04,0.52
-5.00E+02,0,0,0.12,0.44
-5.00E+02,0,0,0.2,0.76
-5.00E+02,0,0,-1.08,0.52
-5.00E+02,0,0,-0.68,0.84
-5.00E+02,0,0,-1.24,1
-5.00E+02,0,0,-0.36,0.68
-5.00E+02,0,0,-0.36,0.76
-5.00E+02,0,0,0.36,0.52
-5.00E+02,0,0,0.6,0.44
-5.00E+02,0,0,0.28,0.44
-5.00E+02,0,0,0.68,0.6
-5.00E+02,0,0,1,0.76
-5.00E+02,0,0,0.6,0.68
-5.00E+02,0,0,0.44,0.52
-5.00E+02,0,0,-0.44,0.44
-5.00E+02,0,0,0.2,0.52
-5.00E+02,0,0,-0.44,0.52
-5.00E+02,0,0,0.2,0.52
