Model,DPO4034
Firmware Version,2.58

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,100,,,
Horizontal Delay,0,0,0,0
Sample Interval,0.01,,,
Record Length,100000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,2,2,2
Vertical Position,0,2.04,-2.02,-4.02
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.00000e+02,-0.48,0.72,0.12,0.76
-4.99990e+02,0.64,-0.8,-0.36,0.52
-4.99980e+02,0.16,-0.56,0.04,0.76
-4.99970e+02,0.56,0.16,0.04,-0.04
-4.99960e+02,0.32,-0.08,0.04,0.04
-4.99950e+02,-0.4,-0.4,0.44,0.28
-4.99940e+02,0.72,0.32,0.12,-0.04
-4.99930e+02,0.16,0.24,0.12,0.2
-4.99920e+02,0,0.96,0.2,0.44
-4.99910e+02,-0.08,0.64,-0.36,0.44
-4.99900e+02,-0.56,0.8,0.12,0.68
-4.99890e+02,-0.24,0.32,-0.52,0.68
-4.99880e+02,-1.04,-0.08,0.12,1
-4.99870e+02,-0.64,0.24,0.76,0.92
-4.99860e+02,0,-6.88,0.36,0.44
-4.99850e+02,-0.32,-2.56,0.6,0.44
-4.99840e+02,0,inf,0.68,-0.2
-4.99830e+02,-0.48,inf,0.76,0.12
-4.99820e+02,-0.24,-3.28,0.44,-0.04
-4.99810e+02,-0.24,-6.32,0.04,0.28
-4.99800e+02,0.4,-2.32,-0.28,0.28
-4.99790e+02,0.96,-0.16,-0.84,0.76
-4.99780e+02,0.72,-0.16,-2.28,0.68
-4.99770e+02,-0.24,-0.24,-1.08,1.4
-4.99760e+02,0.32,-0.08,-0.12,1.16
-4.99750e+02,-0.16,-0.56,-0.12,0.76
-4.99740e+02,-0.48,-0.24,0.12,0.12
-4.99730e+02,0.56,-0.56,0.6,0.04
-4.99720e+02,0.48,0.16,0.36,0.2
-4.99710e+02,0.64,0,-0.28,0.04
-4.99700e+02,-0.48,0.24,0.68,1.16
-4.99690e+02,0.24,0.4,-0.44,0.28
-4.99680e+02,0.48,0,-1.16,-0.04
-4.99670e+02,-0.4,-0.16,-1.32,0.28
-4.99660e+02,-0.08,0.24,-1.32,0.76
-4.99650e+02,-0.08,-0.8,-1.8,0.84
-4.99640e+02,0.4,-0.72,-1.48,1.08
-4.99630e+02,0.8,-0.24,-1.56,0.52
-4.99620e+02,0.24,-0.4,-1.64,0.68
-4.99610e+02,0.24,0.48,-1.48,0.12
-4.99600e+02,0.4,-0.08,-0.52,-0.12
-4.99590e+02,0,0.4,-0.12,0.12
-4.99580e+02,-0.08,0,1.24,0.6
-4.99570e+02,-0.72,0,1.4,0.84
-4.99560e+02,-0.88,0.56,0.44,0.76
-4.99550e+02,-0.64,-0.08,0.76,0.52
-4.99540e+02,0,-1.04,0.84,1
-4.99530e+02,1.52,-0.08,0.36,0.92
-4.99520e+02,0.8,0.08,0.04,0.36
-4.99510e+02,0,0.48,-0.2,0.28
-4.99500e+02,-0.24,0.24,-0.36,0.44
-4.99490e+02,-0.08,-0.08,-0.04,0.76
-4.99480e+02,0.56,-0.64,0.44,0.68
-4.99470e+02,-0.4,0.32,-0.12,0.92
-4.99460e+02,-0.56,-0.16,-0.2,1.08
-4.99450e+02,-0.4,-0.4,0.28,1.08
-4.99440e+02,0,0.48,-0.44,1
-4.99430e+02,-0.24,-0.16,0.12,0.6
-4.99420e+02,0.32,-0.16,0.04,0.6
-4.99410e+02,0.8,0.56,0.68,0.28
-4.99400e+02,0.4,0.24,0.44,0.52
-4.99390e+02,0.08,0.8,0.52,0.44
-4.99380e+02,0,0.4,-0.2,0.12
-4.99370e+02,-0.24,0.16,0.12,0.2
-4.99360e+02,-0.08,-0.24,1,0.44
-4.99350e+02,0.16,-0.4,-0.84,0.44
-4.99340e+02,0.48,0.48,0.2,0.52
-4.99330e+02,1.12,-0.4,0.2,0.52
-4.99320e+02,0,0,-0.12,0.68
-4.99310e+02,0,0.32,-0.52,0.6
-4.99300e+02,0.4,0.32,-0.44,0.68
-4.99290e+02,0,1.04,-0.44,0.2
-4.99280e+02,0.32,1.2,-0.52,0.44
-4.99270e+02,0.16,0.32,0.12,0.6
-4.99260e+02,-0.48,0.96,-0.2,0.28
-4.99250e+02,-0.4,0.64,-0.6,0.44
-4.99240e+02,0.24,0.24,0.12,0.36
-4.99230e+02,0.4,0.08,-0.28,0.44
-4.99220e+02,0,0.4,-0.36,0.6
-4.99210e+02,-0.56,0.48,0.28,0.84
-4.99200e+02,0.08,0,-0.04,0.44
-4.99190e+02,0,0.24,-0.76,0.2
-4.99180e+02,0.56,0.16,0.28,0.28
-4.99170e+02,0.48,-0.08,1.24,0.6
-4.99160e+02,0.56,0.08,1,0.28
-4.99150e+02,0.88,-0.16,1,0.12
-4.99140e+02,0.48,-0.08,1.08,0.12
-4.99130e+02,-0.16,0.32,1.16,0.28
-4.99120e+02,0.4,0,0.52,0.36
-4.99110e+02,-0.08,-0.88,-0.12,0.2
-4.99100e+02,0.32,-0.56,-1,0.6
-4.99090e+02,0.4,0,-0.44,0.6
-4.99080e+02,1.04,0.64,-0.44,0.2
-4.99070e+02,-0.08,0.32,-0.2,0.2
-4.99060e+02,-0.16,1.04,-0.68,-0.04
-4.99050e+02,-0.8,-0.16,-0.2,0.2
-4.99040e+02,-0.32,0.16,0.36,0.44
-4.99030e+02,-0.48,0.16,-0.04,0.12
-4.99020e+02,-0.08,-0.16,-1,0.6
-4.99010e+02,-0.08,-0.64,-1.16,0.52
-4.99000e+02,0.32,-0.4,-0.68,0.28
-4.98990e+02,0,-0.88,-0.28,0.28
-4.98980e+02,0.72,-0.32,0.04,-0.12
-4.98970e+02,0.24,-0.08,0.2,-0.04
-4.98960e+02,0.48,-0.08,0.44,-0.36
-4.98950e+02,0.48,0.32,0.36,-0.36
-4.98940e+02,0.32,-0.24,0.52,0.12
-4.98930e+02,0.24,-0.24,-0.36,-0.12
-4.98920e+02,-0.96,-0.64,-0.2,0.28
-4.98910e+02,-0.16,0.4,-0.28,0.36
-4.98900e+02,0.24,0.48,-0.44,0.2
